Symbol,Company,GICS Sector,GICS Sub-Industry,Source Index
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,S&P 500
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
SPGI,S&P Global,Financials,Financial Exchanges & Data,S&P 500
CRM,Salesforce,Information Technology,Application Software,"S&P 500, Dow 30"
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,S&P 500
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,S&P 500
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
SRE,Sempra,Utilities,Multi-Utilities,S&P 500
NOW,ServiceNow,Information Technology,Systems Software,S&P 500
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"S&P 500, Dow 30"
SPG,Simon Property Group,Real Estate,Retail REITs,S&P 500
SWKS,Skyworks Solutions,Information Technology,Semiconductors,S&P 500
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,S&P 500
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,S&P 500
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,S&P 500
SOLS,Solstice Advanced Materials,Materials,TBD,S&P 500
SOLV,Solventum,Health Care,Health Care Technology,S&P 500
SO,Southern Company,Utilities,Electric Utilities,S&P 500
LUV,Southwest Airlines,Industrials,Passenger Airlines,S&P 500
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,S&P 500
SBUX,Starbucks,Consumer Discretionary,Restaurants,S&P 500
STT,State Street Corporation,Financials,Asset Management & Custody Banks,S&P 500
STLD,Steel Dynamics,Materials,Steel,S&P 500
STE,Steris,Health Care,Health Care Equipment,S&P 500
SYK,Stryker Corporation,Health Care,Health Care Equipment,S&P 500
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
SYF,Synchrony Financial,Financials,Consumer Finance,S&P 500
SNPS,Synopsys,Information Technology,Application Software,S&P 500
SYY,Sysco,Consumer Staples,Food Distributors,S&P 500
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,S&P 500
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,S&P 500
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,S&P 500
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,S&P 500
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,S&P 500
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,S&P 500
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,S&P 500
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,S&P 500
TXN,Texas Instruments,Information Technology,Semiconductors,S&P 500
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,S&P 500
TXT,Textron,Industrials,Aerospace & Defense,S&P 500
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,S&P 500
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,S&P 500
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,S&P 500
TTD,Trade Desk (The),Communication Services,Advertising,S&P 500
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,S&P 500
TT,Trane Technologies,Industrials,Building Products,S&P 500
TDG,TransDigm Group,Industrials,Aerospace & Defense,S&P 500
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"S&P 500, Dow 30"
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,S&P 500
TFC,Truist Financial,Financials,Diversified Banks,S&P 500
TYL,Tyler Technologies,Information Technology,Application Software,S&P 500
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,S&P 500
USB,U.S. Bancorp,Financials,Diversified Banks,S&P 500
UBER,Uber,Industrials,Passenger Ground Transportation,S&P 500
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,S&P 500
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,S&P 500
UNP,Union Pacific Corporation,Industrials,Rail Transportation,S&P 500
UAL,United Airlines Holdings,Industrials,Passenger Airlines,S&P 500
UPS,United Parcel Service,Industrials,Air Freight & Logistics,S&P 500
URI,United Rentals,Industrials,Trading Companies & Distributors,S&P 500
UNH,UnitedHealth Group,Health Care,Managed Health Care,"S&P 500, Dow 30"
UHS,Universal Health Services,Health Care,Health Care Facilities,S&P 500
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,S&P 500
VTR,Ventas,Real Estate,Health Care REITs,S&P 500
VLTO,Veralto,Industrials,Environmental & Facilities Services,S&P 500
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,S&P 500
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,S&P 500
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"S&P 500, Dow 30"
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,S&P 500
VTRS,Viatris,Health Care,Pharmaceuticals,S&P 500
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,S&P 500
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"S&P 500, Dow 30"
VST,Vistra Corp.,Utilities,Electric Utilities,S&P 500
VMC,Vulcan Materials Company,Materials,Construction Materials,S&P 500
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,S&P 500
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,S&P 500
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"S&P 500, Dow 30"
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"S&P 500, Dow 30"
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,S&P 500
WM,Waste Management,Industrials,Environmental & Facilities Services,S&P 500
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,S&P 500
WEC,WEC Energy Group,Utilities,Electric Utilities,S&P 500
WFC,Wells Fargo,Financials,Diversified Banks,S&P 500
WELL,Welltower,Real Estate,Health Care REITs,S&P 500
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,S&P 500
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
WY,Weyerhaeuser,Real Estate,Timber REITs,S&P 500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,S&P 500
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,S&P 500
WTW,Willis Towers Watson,Financials,Insurance Brokers,S&P 500
WDAY,"Workday, Inc.",Information Technology,Application Software,S&P 500
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,S&P 500
XEL,Xcel Energy,Utilities,Multi-Utilities,S&P 500
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,S&P 500
YUM,Yum! Brands,Consumer Discretionary,Restaurants,S&P 500
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,S&P 500
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,S&P 500
ZTS,Zoetis,Health Care,Pharmaceuticals,S&P 500
